brand,name,old_price_reais,old_price_cent,new_price_reais,reviews_rating_number,reviews_amount
FILA,Tênis Masculino Fila Float Maxxi 2,324,88,66,,
FILA,Tênis Masculino  Fila Racer T2 Xtreme,324,88,66,,
NEW BALANCE,Tenis New Balance Supercomp Elite V4 Bege Claro Masculino,324,88,66,,
FILA,Tênis Fila Improve Masculino Original Esportivo Casual,324,88,66,,
FILA,Tênis Corrida Masculino Fila Racer Comet,324,88,66,,
MIZUNO,Tênis Mizuno Cool Ride 3 Branco,324,88,66,,
,Tenis Masculino Esportivo Urbano Macio Academia Space Leve,324,88,66,,
FILA,Tênis Diffusion Fila Masculino -original Corrida Confortável,324,88,66,,
FILA,Tênis Fila Efecto Corrida Masculino,324,88,66,,
FILA,Tênis Fila Racer T2 Xtreme Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Cinza/preto Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Grafite/laranja Masculino,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Dynamic,324,88,66,,
FILA,Tênis Fila Masculino Caminhada Solado Antiderrapante,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Conex,324,88,66,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino Royal,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
NEW BALANCE,Tenis New Balance 1080 V14 Preto Branco Masculino,324,88,66,,
,Tenis Esportivo Masculino Treino Dia Dia Leve Conforto Moda,324,88,66,,
FILA,Tênis Corrida Rua Caminhada Masculino Respirável Resistente,324,88,66,,
FILA,Tênis Masculino Corrida Confortável Borracha Antiderrapante,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
OLYMPIKUS,Tênis Olympikus Corre Grafeno 3 Esporte Corrida Original,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Conex,324,88,66,,
FILA,Tênis Fila Recovery Corrida Masculino,324,88,66,,
OLYMPIKUS,Tênis Olympikus Triunfo 3 Cinza E Azul,324,88,66,,
OLYMPIKUS,Tênis Olympikus Diffuse 5 Original Cod: 17095,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
,Tênis Corrida Lançamento Sport Casual Preto + Relógio,324,88,66,,
OLYMPIKUS,Tênis Olympikus Lap Mescla Preto Cod: 17096,324,88,66,,
,Tênis Masculino Tryway Numero Especial Tamanho 45 46 47 48,324,88,66,5.0,(8)
FILA,Tênis Fila Racer Comet Corrida Confortável Alta Performance,324,88,66,,
FILA,Tênis Esportivo Masculino Progress Lite Fila Adulto,324,88,66,4.7,(454)
,Tenis Polo Running Caminhada Masculino  Academia Super Leve,324,88,66,4.5,(155)
,Tênis Masculino Moda Fitness Caminhada Leve Barato Promoção,324,88,66,4.4,(372)
FILA,Fila Maxximus Masculino Azul Adultos,324,88,66,,
FILA,Tênis Fila Racer Nairobi Masculino,324,88,66,,
ASICS,Asics Gel-excite 10 Masculino Adultos,324,88,66,,
ASICS,Asics Gel-cumulus 26 Masculino Adultos,324,88,66,,
FILA,Fila Racer Speedzone Masculino Adultos,324,88,66,,
SKECHERS,Tênis Esportivo Masculino Go Run Consistent 2.0 Skechers,324,88,66,,
OLYMPIKUS,Tênis Esportivo Corrida Olympikus Veloz 3 Original,324,88,66,,
,Tênis Para Academia Masculino Malhar Corrida Promoção 33y,324,88,66,,
ASICS,Tênis Revelation Gel Corrida Treino Macio Barato 38 ao 43,324,88,66,3.9,(28)
MIZUNO,Tênis Mizuno Wave Stratos 2 Masculino,324,88,66,,
NIKE,Tênis Nike Downshifter 13 Masculino,324,88,66,,
UNDER ARMOUR,Under Armour Charged Wing Se Masculino Preto/branco Adultos,324,88,66,,
OLYMPIKUS,Tenis Olympikus Diversos Modelos Promoção Original,324,88,66,,
NIKE,Tênis Nike Downshifter 13 Masculino,324,88,66,4.5,(14)
FILA,Tênis Fila Efecto Masculino Corrida,324,88,66,,
,Tênis Número Especial Esportivo Corrida E Academia 44-48,324,88,66,4.4,(247)
,Tênis Masculino Revior Esportivo Tamanho Especial 44-48,324,88,66,4.5,(371)
BF SHOES,Kit 2 Pares Tênis Masculino Para Academia Treino Smartwatch,324,88,66,,
FILA,Tênis Masculino Fila Float Maxxi 2,324,88,66,,
FILA,Tênis Masculino  Fila Racer T2 Xtreme,324,88,66,,
NEW BALANCE,Tenis New Balance Supercomp Elite V4 Bege Claro Masculino,324,88,66,,
FILA,Tênis Fila Improve Masculino Original Esportivo Casual,324,88,66,,
FILA,Tênis Corrida Masculino Fila Racer Comet,324,88,66,,
MIZUNO,Tênis Mizuno Cool Ride 3 Branco,324,88,66,,
,Tenis Masculino Esportivo Urbano Macio Academia Space Leve,324,88,66,,
FILA,Tênis Diffusion Fila Masculino -original Corrida Confortável,324,88,66,,
FILA,Tênis Fila Efecto Corrida Masculino,324,88,66,,
FILA,Tênis Fila Racer T2 Xtreme Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Cinza/preto Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Grafite/laranja Masculino,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Dynamic,324,88,66,,
FILA,Tênis Fila Masculino Caminhada Solado Antiderrapante,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Conex,324,88,66,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino Royal,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
NEW BALANCE,Tenis New Balance 1080 V14 Preto Branco Masculino,324,88,66,,
,Tenis Esportivo Masculino Treino Dia Dia Leve Conforto Moda,324,88,66,,
FILA,Tênis Corrida Rua Caminhada Masculino Respirável Resistente,324,88,66,,
FILA,Tênis Masculino Corrida Confortável Borracha Antiderrapante,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
OLYMPIKUS,Tênis Olympikus Corre Grafeno 3 Esporte Corrida Original,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Conex,324,88,66,,
FILA,Tênis Fila Recovery Corrida Masculino,324,88,66,,
OLYMPIKUS,Tênis Olympikus Triunfo 3 Cinza E Azul,324,88,66,,
OLYMPIKUS,Tênis Olympikus Diffuse 5 Original Cod: 17095,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
,Tênis Corrida Lançamento Sport Casual Preto + Relógio,324,88,66,,
OLYMPIKUS,Tênis Olympikus Lap Mescla Preto Cod: 17096,324,88,66,,
,Tênis Masculino Tryway Numero Especial Tamanho 45 46 47 48,324,88,66,5.0,(8)
FILA,Tênis Fila Racer Comet Corrida Confortável Alta Performance,324,88,66,,
FILA,Tênis Esportivo Masculino Progress Lite Fila Adulto,324,88,66,4.7,(454)
,Tenis Polo Running Caminhada Masculino  Academia Super Leve,324,88,66,4.5,(155)
,Tênis Masculino Moda Fitness Caminhada Leve Barato Promoção,324,88,66,4.4,(372)
FILA,Fila Maxximus Masculino Azul Adultos,324,88,66,,
FILA,Tênis Fila Racer Nairobi Masculino,324,88,66,,
ASICS,Asics Gel-excite 10 Masculino Adultos,324,88,66,,
ASICS,Asics Gel-cumulus 26 Masculino Adultos,324,88,66,,
FILA,Fila Racer Speedzone Masculino Adultos,324,88,66,,
SKECHERS,Tênis Esportivo Masculino Go Run Consistent 2.0 Skechers,324,88,66,,
OLYMPIKUS,Tênis Esportivo Corrida Olympikus Veloz 3 Original,324,88,66,,
,Tênis Para Academia Masculino Malhar Corrida Promoção 33y,324,88,66,,
ASICS,Tênis Revelation Gel Corrida Treino Macio Barato 38 ao 43,324,88,66,3.9,(28)
MIZUNO,Tênis Mizuno Wave Stratos 2 Masculino,324,88,66,,
NIKE,Tênis Nike Downshifter 13 Masculino,324,88,66,,
UNDER ARMOUR,Under Armour Charged Wing Se Masculino Preto/branco Adultos,324,88,66,,
OLYMPIKUS,Tenis Olympikus Diversos Modelos Promoção Original,324,88,66,,
NIKE,Tênis Nike Downshifter 13 Masculino,324,88,66,4.5,(14)
FILA,Tênis Fila Efecto Masculino Corrida,324,88,66,,
,Tênis Número Especial Esportivo Corrida E Academia 44-48,324,88,66,4.4,(247)
,Tênis Masculino Revior Esportivo Tamanho Especial 44-48,324,88,66,4.5,(371)
BF SHOES,Kit 2 Pares Tênis Masculino Para Academia Treino Smartwatch,324,88,66,,
FILA,Tênis Masculino Fila Float Maxxi 2,324,88,66,,
FILA,Tênis Masculino  Fila Racer T2 Xtreme,324,88,66,,
NEW BALANCE,Tenis New Balance Supercomp Elite V4 Bege Claro Masculino,324,88,66,,
FILA,Tênis Fila Improve Masculino Original Esportivo Casual,324,88,66,,
FILA,Tênis Corrida Masculino Fila Racer Comet,324,88,66,,
MIZUNO,Tênis Mizuno Cool Ride 3 Branco,324,88,66,,
,Tenis Masculino Esportivo Urbano Macio Academia Space Leve,324,88,66,,
FILA,Tênis Diffusion Fila Masculino -original Corrida Confortável,324,88,66,,
FILA,Tênis Fila Efecto Corrida Masculino,324,88,66,,
FILA,Tênis Fila Racer T2 Xtreme Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Cinza/preto Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Grafite/laranja Masculino,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Dynamic,324,88,66,,
FILA,Tênis Fila Masculino Caminhada Solado Antiderrapante,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Conex,324,88,66,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino Royal,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
NEW BALANCE,Tenis New Balance 1080 V14 Preto Branco Masculino,324,88,66,,
,Tenis Esportivo Masculino Treino Dia Dia Leve Conforto Moda,324,88,66,,
FILA,Tênis Corrida Rua Caminhada Masculino Respirável Resistente,324,88,66,,
FILA,Tênis Masculino Corrida Confortável Borracha Antiderrapante,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
OLYMPIKUS,Tênis Olympikus Corre Grafeno 3 Esporte Corrida Original,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Conex,324,88,66,,
FILA,Tênis Fila Recovery Corrida Masculino,324,88,66,,
OLYMPIKUS,Tênis Olympikus Triunfo 3 Cinza E Azul,324,88,66,,
OLYMPIKUS,Tênis Olympikus Diffuse 5 Original Cod: 17095,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
,Tênis Corrida Lançamento Sport Casual Preto + Relógio,324,88,66,,
OLYMPIKUS,Tênis Olympikus Lap Mescla Preto Cod: 17096,324,88,66,,
,Tênis Masculino Tryway Numero Especial Tamanho 45 46 47 48,324,88,66,5.0,(8)
FILA,Tênis Fila Racer Comet Corrida Confortável Alta Performance,324,88,66,,
FILA,Tênis Esportivo Masculino Progress Lite Fila Adulto,324,88,66,4.7,(454)
,Tenis Polo Running Caminhada Masculino  Academia Super Leve,324,88,66,4.5,(155)
,Tênis Masculino Moda Fitness Caminhada Leve Barato Promoção,324,88,66,4.4,(372)
FILA,Fila Maxximus Masculino Azul Adultos,324,88,66,,
FILA,Tênis Fila Racer Nairobi Masculino,324,88,66,,
ASICS,Asics Gel-excite 10 Masculino Adultos,324,88,66,,
ASICS,Asics Gel-cumulus 26 Masculino Adultos,324,88,66,,
FILA,Fila Racer Speedzone Masculino Adultos,324,88,66,,
SKECHERS,Tênis Esportivo Masculino Go Run Consistent 2.0 Skechers,324,88,66,,
OLYMPIKUS,Tênis Esportivo Corrida Olympikus Veloz 3 Original,324,88,66,,
,Tênis Para Academia Masculino Malhar Corrida Promoção 33y,324,88,66,,
ASICS,Tênis Revelation Gel Corrida Treino Macio Barato 38 ao 43,324,88,66,3.9,(28)
MIZUNO,Tênis Mizuno Wave Stratos 2 Masculino,324,88,66,,
NIKE,Tênis Nike Downshifter 13 Masculino,324,88,66,,
UNDER ARMOUR,Under Armour Charged Wing Se Masculino Preto/branco Adultos,324,88,66,,
OLYMPIKUS,Tenis Olympikus Diversos Modelos Promoção Original,324,88,66,,
NIKE,Tênis Nike Downshifter 13 Masculino,324,88,66,4.5,(14)
FILA,Tênis Fila Efecto Masculino Corrida,324,88,66,,
,Tênis Número Especial Esportivo Corrida E Academia 44-48,324,88,66,4.4,(247)
,Tênis Masculino Revior Esportivo Tamanho Especial 44-48,324,88,66,4.5,(371)
BF SHOES,Kit 2 Pares Tênis Masculino Para Academia Treino Smartwatch,324,88,66,,
FILA,Tênis Masculino Fila Float Maxxi 2,324,88,66,,
FILA,Tênis Masculino  Fila Racer T2 Xtreme,324,88,66,,
NEW BALANCE,Tenis New Balance Supercomp Elite V4 Bege Claro Masculino,324,88,66,,
FILA,Tênis Fila Improve Masculino Original Esportivo Casual,324,88,66,,
FILA,Tênis Corrida Masculino Fila Racer Comet,324,88,66,,
MIZUNO,Tênis Mizuno Cool Ride 3 Branco,324,88,66,,
,Tenis Masculino Esportivo Urbano Macio Academia Space Leve,324,88,66,,
FILA,Tênis Diffusion Fila Masculino -original Corrida Confortável,324,88,66,,
FILA,Tênis Fila Efecto Corrida Masculino,324,88,66,,
FILA,Tênis Fila Racer T2 Xtreme Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Cinza/preto Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Grafite/laranja Masculino,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Dynamic,324,88,66,,
FILA,Tênis Fila Masculino Caminhada Solado Antiderrapante,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Conex,324,88,66,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino Royal,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
NEW BALANCE,Tenis New Balance 1080 V14 Preto Branco Masculino,324,88,66,,
,Tenis Esportivo Masculino Treino Dia Dia Leve Conforto Moda,324,88,66,,
FILA,Tênis Corrida Rua Caminhada Masculino Respirável Resistente,324,88,66,,
FILA,Tênis Masculino Corrida Confortável Borracha Antiderrapante,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
OLYMPIKUS,Tênis Olympikus Corre Grafeno 3 Esporte Corrida Original,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Conex,324,88,66,,
FILA,Tênis Fila Recovery Corrida Masculino,324,88,66,,
OLYMPIKUS,Tênis Olympikus Triunfo 3 Cinza E Azul,324,88,66,,
OLYMPIKUS,Tênis Olympikus Diffuse 5 Original Cod: 17095,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volcan 2 Preto,324,88,66,,
,Tênis Corrida Lançamento Sport Casual Preto + Relógio,324,88,66,,
OLYMPIKUS,Tênis Olympikus Lap Mescla Preto Cod: 17096,324,88,66,,
,Tênis Masculino Tryway Numero Especial Tamanho 45 46 47 48,324,88,66,5.0,(8)
FILA,Tênis Fila Racer Comet Corrida Confortável Alta Performance,324,88,66,,
FILA,Tênis Esportivo Masculino Progress Lite Fila Adulto,324,88,66,4.7,(454)
,Tenis Polo Running Caminhada Masculino  Academia Super Leve,324,88,66,4.5,(155)
,Tênis Masculino Moda Fitness Caminhada Leve Barato Promoção,324,88,66,4.4,(372)
FILA,Fila Maxximus Masculino Azul Adultos,324,88,66,,
FILA,Tênis Fila Racer Nairobi Masculino,324,88,66,,
ASICS,Asics Gel-excite 10 Masculino Adultos,324,88,66,,
ASICS,Asics Gel-cumulus 26 Masculino Adultos,324,88,66,,
FILA,Fila Racer Speedzone Masculino Adultos,324,88,66,,
SKECHERS,Tênis Esportivo Masculino Go Run Consistent 2.0 Skechers,324,88,66,,
OLYMPIKUS,Tênis Esportivo Corrida Olympikus Veloz 3 Original,324,88,66,,
,Tênis Para Academia Masculino Malhar Corrida Promoção 33y,324,88,66,,
ASICS,Tênis Revelation Gel Corrida Treino Macio Barato 38 ao 43,324,88,66,3.9,(28)
MIZUNO,Tênis Mizuno Wave Stratos 2 Masculino,324,88,66,,
NIKE,Tênis Nike Downshifter 13 Masculino,324,88,66,,
UNDER ARMOUR,Under Armour Charged Wing Se Masculino Preto/branco Adultos,324,88,66,,
OLYMPIKUS,Tenis Olympikus Diversos Modelos Promoção Original,324,88,66,,
NIKE,Tênis Nike Downshifter 13 Masculino,324,88,66,4.5,(14)
FILA,Tênis Fila Efecto Masculino Corrida,324,88,66,,
,Tênis Número Especial Esportivo Corrida E Academia 44-48,324,88,66,4.4,(247)
,Tênis Masculino Revior Esportivo Tamanho Especial 44-48,324,88,66,4.5,(371)
BF SHOES,Kit 2 Pares Tênis Masculino Para Academia Treino Smartwatch,324,88,66,,
FILA,Tênis Masculino Fila Float Maxxi 2,324,88,66,,
FILA,Tênis Masculino  Fila Racer T2 Xtreme,324,88,66,,
NEW BALANCE,Tenis New Balance Supercomp Elite V4 Bege Claro Masculino,324,88,66,,
FILA,Tênis Fila Improve Masculino Original Esportivo Casual,324,88,66,,
FILA,Tênis Corrida Masculino Fila Racer Comet,324,88,66,,
MIZUNO,Tênis Mizuno Cool Ride 3 Branco,324,88,66,,
,Tenis Masculino Esportivo Urbano Macio Academia Space Leve,324,88,66,,
FILA,Tênis Diffusion Fila Masculino -original Corrida Confortável,324,88,66,,
FILA,Tênis Fila Efecto Corrida Masculino,324,88,66,,
FILA,Tênis Fila Racer T2 Xtreme Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Cinza/preto Masculino,324,88,66,,
FILA,Tênis Fila Progress Lite Grafite/laranja Masculino,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Volta Preto,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Challenger 5,324,88,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Dynamic,324,88,66,,
FILA,Tênis Fila Masculino Caminhada Solado Antiderrapante,324,88,66,,
